id	text	tweet_id	hc	bs	dt	tc	tweet_id	valence	arousal	dominance
727252145473503233	#SleazyDonald RT rasalom666: I did NOT say Trump was pedophile! That was his good friend convicted pedophile Jeffrey Epstein whose blackboo…	727252145473503233	0.238218173384666	-0.265857309103012	-0.998639822006226	0.203193783760071	727252145473503233	4.734	4.129	5.363
728622774537748480	.@RepCardenas Thank you for supporting @HillaryClinton. #barrierbreakers2016 #ImWithHer	728622774537748480	0.222859755158424	0.00173975352663547	0.013804036192596	0.00435152510181069	728622774537748480	7.33	3.19	6.5
726222165754937344	.@peopleforben Thank you for supporting @HillaryClinton. #barrierbreakers2016 #ImWithHer	726222165754937344	0.222859755158424	0.00173975352663547	0.013804036192596	0.00435152510181069	726222165754937344	7.33	3.19	6.5
726977231550070785	.@bsgpolitics Thank you for supporting @HillaryClinton. #barrierbreakers2016 #ImWithHer	726977231550070785	0.222859755158424	0.00173975352663547	0.013804036192596	0.00435152510181069	726977231550070785	7.33	3.19	6.5
728846647963189248	.@GaleJonesCarson Thank you for supporting @HillaryClinton. #barrierbreakers2016 #ImWithHer	728846647963189248	0.222859755158424	0.00173975352663547	0.013804036192596	0.00435152510181069	728846647963189248	7.33	3.19	6.5
726950810811158528	.@RepGeneGreen Thank you for supporting @HillaryClinton. #barrierbreakers2016 #ImWithHer	726950810811158528	0.222859755158424	0.00173975352663547	0.013804036192596	0.00435152510181069	726950810811158528	7.33	3.19	6.5
726936621744943104	.@bsgpolitics Thank you for supporting @HillaryClinton. #barrierbreakers2016 #ImWithHer	726936621744943104	0.222859755158424	0.00173975352663547	0.013804036192596	0.00435152510181069	726936621744943104	7.33	3.19	6.5
727224673746964480	.@NelsonForSenate Thank you for supporting @HillaryClinton. #barrierbreakers2016 #ImWithHer	727224673746964480	0.222859755158424	0.00173975352663547	0.013804036192596	0.00435152510181069	727224673746964480	7.33	3.19	6.5
728612675295412224	.@aguilarpete Thank you for supporting @HillaryClinton. #barrierbreakers2016 #ImWithHer	728612675295412224	0.222859755158424	0.00173975352663547	0.013804036192596	0.00435152510181069	728612675295412224	7.33	3.19	6.5
726544066549301248	.@MayorLerner Thank you for supporting @HillaryClinton. #barrierbreakers2016 #ImWithHer	726544066549301248	0.222859755158424	0.00173975352663547	0.013804036192596	0.00435152510181069	726544066549301248	7.33	3.19	6.5
id	text	tweet_id	hc	bs	dt	tc	tweet_id	valence	arousal	dominance
728033209670356993	Romanian Hacker Claims to Have Breached Clinton’s Email Server https://t.co/Zfc5sq5b6L	728033209670356993	-0.97554212808609	0.0505771562457085	0.0808016583323479	-0.0245328526943922	728033209670356993	5.372	4.174	5.354
