('the', 714.00000000008458)
('', 479.99999999991735)
('of', 460.36363636367849)
('and', 459.57446808506018)
('that', 413.2173913043174)
('we', 347.47826086953268)
('a', 328.85106382978029)
('you', 292.57142857143288)
('college', 224.00000000000003)
('mess', 192.00000000000009)
('street', 176.00000000000063)
('with', 170.66666666665773)
('tired', 144.00000000000006)
('eliminates', 144.00000000000006)
('free', 144.00000000000003)
('they', 136.8888888888869)
('companies', 120.00000000000009)
('bill', 120.00000000000003)
('iraq', 119.99999999999996)
('debt', 115.19999999999992)
('new', 107.07692307692336)
('re', 97.714285714287058)
('want', 96.000000000000128)
('hillary', 96.000000000000071)
('wanted', 96.000000000000057)
('credit', 96.000000000000028)
('reign', 96.000000000000028)
('bank', 96.000000000000028)
('principles', 96.000000000000028)
('limited', 96.000000000000014)
('destroyed', 96.000000000000014)
('colleges', 96.000000000000014)
('votes', 96.000000000000014)
('rise', 96.000000000000014)
('net', 96.000000000000014)
('china', 96.000000000000014)
('moral', 96.000000000000014)
('schools', 96.000000000000014)
('eisenhower', 96.000000000000014)
('grows', 96.000000000000014)
('vote', 96.000000000000014)
('medicaid', 96.000000000000014)
('grade', 96.000000000000014)
('showed', 96.000000000000014)
('solely', 96.000000000000014)
('weak', 96.000000000000014)
('represented', 96.000000000000014)
('250', 96.000000000000014)
('bets', 96.000000000000014)
('would', 95.99999999999855)
('glass', 86.400000000000034)
('matter', 86.40000000000002)
('country', 84.000000000001251)
('kevin', 84.000000000000028)
('too', 84.0)
('nations', 84.0)
('john', 83.999999999999702)
('11', 82.285714285714249)
('them', 81.882352941176819)
('president', 81.600000000000364)
('were', 80.727272727271796)
('met', 80.000000000000028)
('must', 79.999999999999858)
('over', 78.545454545454703)
('america', 77.999999999999815)
('kids', 76.800000000000068)
('saw', 76.800000000000068)
('say', 76.444444444444557)
('military', 75.428571428571416)
('went', 75.428571428571402)
('campaign', 74.181818181818301)
('after', 73.411764705882163)
('break', 72.000000000000099)
('paris', 72.000000000000014)
('leaders', 72.000000000000014)
('disposable', 72.000000000000014)
('brought', 72.000000000000014)
('word', 72.000000000000014)
('provide', 72.000000000000014)
('tomorrow', 72.000000000000014)
('hearing', 72.000000000000014)
('wasn', 72.000000000000014)
('listen', 72.000000000000014)
('men', 72.000000000000014)
('alan', 72.000000000000014)
('russia', 72.000000000000014)
('knew', 72.000000000000014)
('conflict', 72.0)
('top', 71.999999999999957)
('me', 71.039999999999296)
('take', 70.400000000000219)
('work', 69.818181818181898)
('end', 69.333333333333229)
('better', 69.333333333333229)
('tell', 68.571428571428527)
('15', 68.571428571428498)
('got', 68.210526315789835)
('than', 67.764705882352501)
('any', 64.941176470588118)
('rights', 64.000000000000014)
('law', 64.000000000000014)
('capitalism', 64.000000000000014)
('safe', 64.000000000000014)
('side', 64.000000000000014)
('cooney', 64.000000000000014)
('here', 63.359999999999097)
('far', 60.000000000000014)
('12', 60.000000000000014)
('then', 58.285714285714128)
('every', 57.600000000000037)
('hold', 57.600000000000037)
('already', 57.600000000000037)
('against', 57.599999999999888)
('democratic', 56.000000000000036)
('each', 56.000000000000036)
('another', 56.0)
('never', 54.857142857142804)
('sorry', 53.999999999999957)
('before', 53.3333333333333)
('even', 48.000000000000036)
('give', 48.000000000000036)
('sellers', 48.000000000000021)
('bringing', 48.000000000000021)
('100', 48.000000000000021)
('approaches', 48.000000000000021)
('reagan', 48.000000000000021)
('call', 48.000000000000021)
('therefore', 48.000000000000021)
('successful', 48.000000000000021)
('root', 48.000000000000021)
('personal', 48.000000000000021)
('effects', 48.000000000000021)
('given', 48.000000000000021)
('yesterday', 48.000000000000021)
('days', 48.000000000000021)
('economists', 48.000000000000021)
('murder', 48.000000000000021)
('western', 48.000000000000021)
('zero', 48.000000000000021)
('unintended', 48.000000000000021)
('modern', 48.000000000000021)
('terms', 48.000000000000021)
('nature', 48.000000000000021)
('extent', 48.000000000000021)
('news', 48.000000000000021)
('received', 48.000000000000021)
('essentially', 48.000000000000021)
('tough', 48.000000000000021)
('trillion', 48.000000000000021)
('speaking', 48.000000000000021)
('require', 48.000000000000021)
('marines', 48.000000000000021)
('turned', 48.000000000000021)
('bailed', 48.000000000000021)
('online', 48.000000000000021)
('price', 48.000000000000021)
('assault', 48.000000000000021)
('average', 48.000000000000021)
('four', 48.000000000000014)
('whose', 48.000000000000014)
('under', 48.000000000000014)
('school', 48.000000000000014)
('budget', 48.000000000000014)
('second', 48.000000000000014)
('ever', 48.000000000000014)
('told', 48.000000000000014)
('hundreds', 48.000000000000014)
('army', 48.000000000000014)
('room', 48.000000000000014)
('era', 48.000000000000014)
('guarantee', 48.000000000000014)
('effective', 48.000000000000014)
('mayor', 48.000000000000014)
('laid', 48.000000000000014)
('forth', 48.000000000000014)
('took', 48.000000000000014)
('com', 48.000000000000014)
('asked', 48.000000000000014)
('white', 48.000000000000014)
('begin', 48.000000000000014)
('sure', 48.000000000000014)
('suicidal', 48.000000000000007)
('yellow', 48.000000000000007)
('hanging', 48.000000000000007)
('integrity', 48.000000000000007)
('electricians', 48.000000000000007)
('crises', 48.000000000000007)
('seriously', 48.000000000000007)
('assets', 48.000000000000007)
('voted', 48.000000000000007)
('updated', 48.000000000000007)
('legislators', 48.000000000000007)
('dollar', 48.000000000000007)
('reforms', 48.000000000000007)
('prize', 48.000000000000007)
('crops', 48.000000000000007)
('supports', 48.000000000000007)
('herbert', 48.000000000000007)
('shows', 48.000000000000007)
('jeff', 48.000000000000007)
('force', 48.000000000000007)
('disciplines', 48.000000000000007)
('miller', 48.000000000000007)
('direct', 48.000000000000007)
('abided', 48.000000000000007)
('ruthless', 48.000000000000007)
('saved', 48.000000000000007)
('liberty', 48.000000000000007)
('lights', 48.000000000000007)
('deficits', 48.000000000000007)
('above', 48.000000000000007)
('increasing', 48.000000000000007)
('active', 48.000000000000007)
('path', 48.000000000000007)
('study', 48.000000000000007)
('changed', 48.000000000000007)
('poverty', 48.000000000000007)
('changes', 48.000000000000007)
('secure', 48.000000000000007)
('total', 48.000000000000007)
('disproportionately', 48.000000000000007)
('devastation', 48.000000000000007)
('charge', 48.000000000000007)
('hospital', 48.000000000000007)
('prescript', 48.000000000000007)
('negative', 48.000000000000007)
('inevitable', 48.000000000000007)
('strike', 48.000000000000007)
('administering', 48.000000000000007)
('barbarous', 48.000000000000007)
('brings', 48.000000000000007)
('naive', 48.000000000000007)
('wars', 48.000000000000007)
('connecticut', 48.000000000000007)
('arms', 48.000000000000007)
('zeroed', 48.000000000000007)
('90', 48.000000000000007)
('midst', 48.000000000000007)
('mr', 48.000000000000007)
('akin', 48.000000000000007)
('example', 48.000000000000007)
('anticipating', 48.000000000000007)
('times', 48.000000000000007)
('thing', 48.000000000000007)
('returning', 48.000000000000007)
('machine', 48.000000000000007)
('globalization', 48.000000000000007)
('interview', 48.000000000000007)
('widespread', 48.000000000000007)
('beach', 48.000000000000007)
('undesirable', 48.000000000000007)
('badly', 48.000000000000007)
('vicious', 48.000000000000007)
('demanding', 48.000000000000007)
('wrong', 48.000000000000007)
('lay', 48.000000000000007)
('sentencing', 48.000000000000007)
('debated', 48.000000000000007)
('las', 48.000000000000007)
('scourge', 48.000000000000007)
