('the', 714.00000000003979)
('', 480.00000000006639)
('and', 450.00000000000858)
('of', 422.00000000000296)
('that', 395.99999999996652)
('we', 333.00000000000608)
('college', 149.33333333333331)
('street', 100.57142857142853)
('debt', 96.0)
('they', 88.000000000000384)
('free', 80.0)
('would', 64.000000000000313)
('mess', 64.0)
('iraq', 63.999999999999957)
('want', 59.076923076923208)
('re', 56.99999999999978)
('bill', 53.3333333333333)
('country', 52.266666666666026)
('new', 51.555555555555671)
('tired', 47.999999999999986)
('glass', 47.999999999999986)
('president', 45.333333333333428)
('me', 42.28571428571415)
('them', 42.181818181818073)
('john', 40.000000000000185)
('companies', 39.999999999999979)
('here', 37.714285714285595)
('too', 37.333333333333321)
('matter', 35.999999999999979)
('better', 34.666666666666622)
('must', 34.285714285714256)
('got', 33.23076923076917)
('vote', 32.000000000000014)
('conflict', 32.000000000000007)
('wanted', 32.000000000000007)
('credit', 32.0)
('reign', 32.0)
('bank', 32.0)
('principles', 32.0)
('kids', 31.999999999999996)
('limited', 31.999999999999993)
('destroyed', 31.999999999999993)
('colleges', 31.999999999999993)
('votes', 31.999999999999993)
('rise', 31.999999999999993)
('sellers', 31.999999999999993)
('net', 31.999999999999993)
('china', 31.999999999999993)
('100', 31.999999999999993)
('moral', 31.999999999999993)
('schools', 31.999999999999993)
('eisenhower', 31.999999999999993)
('grows', 31.999999999999993)
('medicaid', 31.999999999999993)
('grade', 31.999999999999993)
('showed', 31.999999999999993)
('solely', 31.999999999999993)
('weak', 31.999999999999993)
('represented', 31.999999999999993)
('250', 31.999999999999993)
('work', 31.999999999999925)
('campaign', 30.222222222222282)
('then', 30.222222222222168)
('after', 29.714285714285644)
('went', 29.333333333333325)
('military', 29.333333333333321)
('top', 28.800000000000004)
('nations', 28.000000000000007)
('difference', 27.999999999999993)
('break', 27.428571428571409)
('met', 26.666666666666664)
('tell', 26.666666666666657)
('over', 26.181818181818144)
('end', 25.999999999999972)
('against', 24.000000000000007)
('sorry', 24.000000000000004)
('paris', 24.0)
('under', 24.0)
('every', 24.0)
('school', 24.0)
('leaders', 24.0)
('budget', 24.0)
('disposable', 24.0)
('brought', 24.0)
('army', 24.0)
('word', 24.0)
('provide', 24.0)
('tomorrow', 24.0)
('already', 24.0)
('hearing', 24.0)
('wasn', 24.0)
('listen', 24.0)
('men', 24.0)
('another', 22.399999999999991)
('force', 21.333333333333332)
('rights', 21.333333333333332)
('thing', 21.333333333333332)
('law', 21.333333333333332)
('capitalism', 21.333333333333332)
('safe', 21.333333333333332)
('side', 21.333333333333332)
('before', 20.000000000000014)
('give', 20.000000000000007)
('far', 20.000000000000007)
('hold', 19.199999999999996)
('democratic', 18.666666666666661)
('each', 18.666666666666661)
('iowa', 18.285714285714263)
('never', 18.285714285714256)
('even', 16.000000000000004)
('effective', 16.000000000000004)
('voted', 16.0)
('bringing', 16.0)
('approaches', 16.0)
('changes', 16.0)
('reagan', 16.0)
('call', 16.0)
('therefore', 16.0)
('successful', 16.0)
('root', 16.0)
('example', 16.0)
('guarantee', 16.0)
('wrong', 16.0)
('personal', 16.0)
('effects', 16.0)
('financial', 16.0)
('given', 16.0)
('yesterday', 16.0)
('days', 16.0)
('isn', 16.0)
('economists', 16.0)
('needed', 16.0)
('murder', 16.0)
('western', 16.0)
('zero', 16.0)
('unintended', 16.0)
('modern', 16.0)
('terms', 16.0)
('nature', 16.0)
('extent', 16.0)
('news', 16.0)
('received', 16.0)
('essentially', 16.0)
('tough', 16.0)
('suicidal', 15.999999999999998)
('yellow', 15.999999999999998)
('hanging', 15.999999999999998)
('integrity', 15.999999999999998)
('electricians', 15.999999999999998)
('crises', 15.999999999999998)
('seriously', 15.999999999999998)
('assets', 15.999999999999998)
('updated', 15.999999999999998)
('legislators', 15.999999999999998)
('dollar', 15.999999999999998)
('reforms', 15.999999999999998)
('prize', 15.999999999999998)
('crops', 15.999999999999998)
('supports', 15.999999999999998)
('herbert', 15.999999999999998)
('shows', 15.999999999999998)
('jeff', 15.999999999999998)
('disciplines', 15.999999999999998)
('miller', 15.999999999999998)
('direct', 15.999999999999998)
('abided', 15.999999999999998)
('ruthless', 15.999999999999998)
('saved', 15.999999999999998)
('liberty', 15.999999999999998)
('lights', 15.999999999999998)
('deficits', 15.999999999999998)
('above', 15.999999999999998)
('increasing', 15.999999999999998)
('active', 15.999999999999998)
('path', 15.999999999999998)
('study', 15.999999999999998)
('changed', 15.999999999999998)
('secure', 15.999999999999998)
('total', 15.999999999999998)
('disproportionately', 15.999999999999998)
('devastation', 15.999999999999998)
('charge', 15.999999999999998)
('hospital', 15.999999999999998)
('prescript', 15.999999999999998)
('negative', 15.999999999999998)
('inevitable', 15.999999999999998)
('strike', 15.999999999999998)
('administering', 15.999999999999998)
('barbarous', 15.999999999999998)
('brings', 15.999999999999998)
('naive', 15.999999999999998)
('wars', 15.999999999999998)
('connecticut', 15.999999999999998)
('arms', 15.999999999999998)
('zeroed', 15.999999999999998)
('90', 15.999999999999998)
('midst', 15.999999999999998)
('mr', 15.999999999999998)
('akin', 15.999999999999998)
('anticipating', 15.999999999999998)
('times', 15.999999999999998)
('returning', 15.999999999999998)
('machine', 15.999999999999998)
('globalization', 15.999999999999998)
('interview', 15.999999999999998)
('widespread', 15.999999999999998)
('beach', 15.999999999999998)
('undesirable', 15.999999999999998)
('badly', 15.999999999999998)
('vicious', 15.999999999999998)
('demanding', 15.999999999999998)
('lay', 15.999999999999998)
('sentencing', 15.999999999999998)
('debated', 15.999999999999998)
('las', 15.999999999999998)
('scourge', 15.999999999999998)
('appreciate', 15.999999999999998)
('complexity', 15.999999999999998)
('trillions', 15.999999999999998)
('green', 15.999999999999998)
('suggest', 15.999999999999998)
('vfw', 15.999999999999998)
('fan', 15.999999999999998)
('order', 15.999999999999998)
('greed', 15.999999999999998)
('feedback', 15.999999999999998)
('office', 15.999999999999998)
('govern', 15.999999999999998)
('scrap', 15.999999999999998)
('japan', 15.999999999999998)
('hezbollah', 15.999999999999998)
('differently', 15.999999999999998)
('jihadis', 15.999999999999998)
('unemployed', 15.999999999999998)
('yourself', 15.999999999999998)
('shadows', 15.999999999999998)
('rhetoric', 15.999999999999998)
('reasonably', 15.999999999999998)
('classified', 15.999999999999998)
('backgrounds', 15.999999999999998)
('skills', 15.999999999999998)
('filling', 15.999999999999998)
('affiliate', 15.999999999999998)
('bond', 15.999999999999998)
('hosted', 15.999999999999998)
('substantially', 15.999999999999998)
('truman', 15.999999999999998)
('sounds', 15.999999999999998)
('network', 15.999999999999998)
('god', 15.999999999999998)
('crucial', 15.999999999999998)
('adapt', 15.999999999999998)
('foundation', 15.999999999999998)
('vets', 15.999999999999998)
('enormous', 15.999999999999998)
('local', 15.999999999999998)
('levels', 15.999999999999998)
('repealed', 15.999999999999998)
('loud', 15.999999999999998)
('primary', 15.999999999999998)
('hook', 15.999999999999998)
('disappearing', 15.999999999999998)
('service', 15.999999999999998)
('engagement', 15.999999999999998)
('compromise', 15.999999999999998)
('percentage', 15.999999999999998)
('urban', 15.999999999999998)
('serve', 15.999999999999998)
('historical', 15.999999999999998)
('sees', 15.999999999999998)
('georgetown', 15.999999999999998)
('ran', 15.999999999999998)
('mind', 15.999999999999998)
